Концентрация 10
Объем: 0 Л | Добавить Гидронола В20: 9.0 Л и Воды ДИ 36.0
Объем: 1 Л | Добавить Гидронола В20: 8.9 Л и Воды ДИ 35.1
Объем: 2 Л | Добавить Гидронола В20: 8.8 Л и Воды ДИ 34.2
Объем: 3 Л | Добавить Гидронола В20: 8.7 Л и Воды ДИ 33.3
Объем: 4 Л | Добавить Гидронола В20: 8.6 Л и Воды ДИ 32.4
Объем: 5 Л | Добавить Гидронола В20: 8.5 Л и Воды ДИ 31.5
Объем: 6 Л | Добавить Гидронола В20: 8.4 Л и Воды ДИ 30.6
Объем: 7 Л | Добавить Гидронола В20: 8.3 Л и Воды ДИ 29.7
Объем: 8 Л | Добавить Гидронола В20: 8.2 Л и Воды ДИ 28.8
Объем: 9 Л | Добавить Гидронола В20: 8.1 Л и Воды ДИ 27.9
Объем: 10 Л | Добавить Гидронола В20: 8.0 Л и Воды ДИ 27.0
Объем: 11 Л | Добавить Гидронола В20: 7.9 Л и Воды ДИ 26.1
Объем: 12 Л | Добавить Гидронола В20: 7.8 Л и Воды ДИ 25.2
Объем: 13 Л | Добавить Гидронола В20: 7.7 Л и Воды ДИ 24.3
Объем: 14 Л | Добавить Гидронола В20: 7.6 Л и Воды ДИ 23.4
Объем: 15 Л | Добавить Гидронола В20: 7.5 Л и Воды ДИ 22.5
Объем: 16 Л | Добавить Гидронола В20: 7.4 Л и Воды ДИ 21.6
Объем: 17 Л | Добавить Гидронола В20: 7.3 Л и Воды ДИ 20.7
Объем: 18 Л | Добавить Гидронола В20: 7.2 Л и Воды ДИ 19.8
Объем: 19 Л | Добавить Гидронола В20: 7.1 Л и Воды ДИ 18.9
Объем: 20 Л | Добавить Гидронола В20: 7.0 Л и Воды ДИ 18.0
Объем: 21 Л | Добавить Гидронола В20: 6.9 Л и Воды ДИ 17.1
Объем: 22 Л | Добавить Гидронола В20: 6.8 Л и Воды ДИ 16.2
Объем: 23 Л | Добавить Гидронола В20: 6.7 Л и Воды ДИ 15.3
Объем: 24 Л | Добавить Гидронола В20: 6.6 Л и Воды ДИ 14.4
Объем: 25 Л | Добавить Гидронола В20: 6.5 Л и Воды ДИ 13.5
Объем: 26 Л | Добавить Гидронола В20: 6.4 Л и Воды ДИ 12.6
Объем: 27 Л | Добавить Гидронола В20: 6.3 Л и Воды ДИ 11.7
Объем: 28 Л | Добавить Гидронола В20: 6.2 Л и Воды ДИ 10.8
Объем: 29 Л | Добавить Гидронола В20: 6.1 Л и Воды ДИ 9.9
Объем: 30 Л | Добавить Гидронола В20: 6.0 Л и Воды ДИ 9.0
Объем: 31 Л | Добавить Гидронола В20: 5.9 Л и Воды ДИ 8.1
Объем: 32 Л | Добавить Гидронола В20: 5.8 Л и Воды ДИ 7.2
Объем: 33 Л | Добавить Гидронола В20: 5.7 Л и Воды ДИ 6.3
Объем: 34 Л | Добавить Гидронола В20: 5.6 Л и Воды ДИ 5.4
Объем: 35 Л | Добавить Гидронола В20: 5.5 Л и Воды ДИ 4.5
Объем: 36 Л | Добавить Гидронола В20: 5.4 Л и Воды ДИ 3.6
Объем: 37 Л | Добавить Гидронола В20: 5.3 Л и Воды ДИ 2.7
Объем: 38 Л | Добавить Гидронола В20: 5.2 Л и Воды ДИ 1.8
Объем: 39 Л | Добавить Гидронола В20: 5.1 Л и Воды ДИ 0.9
Объем: 40 Л | Добавить Гидронола В20: 5.0 Л и Воды ДИ 0.0
Концентрация 11
Объем: 0 Л | Добавить Гидронола В20: 9.0 Л и Воды ДИ 36.0
Объем: 1 Л | Добавить Гидронола В20: 8.9 Л и Воды ДИ 35.1
Объем: 2 Л | Добавить Гидронола В20: 8.8 Л и Воды ДИ 34.2
Объем: 3 Л | Добавить Гидронола В20: 8.7 Л и Воды ДИ 33.3
Объем: 4 Л | Добавить Гидронола В20: 8.6 Л и Воды ДИ 32.4
Объем: 5 Л | Добавить Гидронола В20: 8.4 Л и Воды ДИ 31.6
Объем: 6 Л | Добавить Гидронола В20: 8.3 Л и Воды ДИ 30.7
Объем: 7 Л | Добавить Гидронола В20: 8.2 Л и Воды ДИ 29.8
Объем: 8 Л | Добавить Гидронола В20: 8.1 Л и Воды ДИ 28.9
Объем: 9 Л | Добавить Гидронола В20: 8.0 Л и Воды ДИ 28.0
Объем: 10 Л | Добавить Гидронола В20: 7.9 Л и Воды ДИ 27.1
Объем: 11 Л | Добавить Гидронола В20: 7.8 Л и Воды ДИ 26.2
Объем: 12 Л | Добавить Гидронола В20: 7.7 Л и Воды ДИ 25.3
